Critic,4,80,FALSE,88,Chicago Sun-Times,To be sure, we get a classic comic book movie storyline about a megalomaniacal madman intent on taking over the world, but there’s often a relatively light tone to the proceedings. This is a throwback piece of pure pop entertainment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,TRUE,80,The Observer (UK),While some sections of the globe-trotting plot strike a baggy, backward-looking note, it’s the smaller moments that make this fly, particularly when the film uses fantasy to turn horribly real everyday harassments into moments of air-punching triumph.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,TRUE,80,Arizona Republic,Wonder Woman 1984 director Patty Jenkins’ long-awaited sequel, is a much better film. It’s not that it’s lacking in chaos. (With a running time of 2 hours and 31 minutes, it's not lacking in much.) It just uses chaos more judiciously. That's fitting for a film about wretched excess, about getting what you want and realizing that maybe you were better off without it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,2,40,TRUE,80,BBC,Jenkins has said that she would have liked the film to be 15 minutes longer. Some viewers might have liked it to be 15 minutes shorter. But, for most of the running time, they will be happy to be in Wonder Woman's uplifting company. In its old-fashioned, uncynical way, WW84 is one of the most enjoyable blockbusters to be released since 1984.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,80,Total Film,We’ve all been waiting for Gadot, and it was worth it. A much-needed blockbuster full of humour, spectacle and optimism.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,80,Time Out,Sure, it gets a bit silly towards the end, and the promised post-credits scene is for the truly dedicated. But in a year when the cinemagoing experience could be categorised as ‘much too little’, you can’t really blame it for giving us a bit too much.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,80,Los Angeles Times,Gadot and Pine give great pillow talk, and their easy screwball rhythms provide not just levity but ballast: They ground a movie in which time, for all its malleability, always feels like it’s slipping away.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,80,Empire,A vibrant and virtuous adventure packed with all the heart and heroism we’ve come to expect from DC’s shining light. Wonder Woman 1984 really is the hero 2020 needed all along.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,80,Screen Rant,Wonder Woman 1984 is filled with hope, love and optimism, offering impressively cinematic superhero action with beautifully sentimental heart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,80,IGN,Wonder Woman 1984 is a bright and hopeful adventure that pays loving homage to the superhero movies of yesteryear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,80,Slashfilm,If there ever was a role that played perfectly to Pascal’s natural charisma, it’s Maxwell Lord.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,TRUE,78,TheWrap,While the reteaming of Gal Gadot and director Patty Jenkins provides the expected thrills and excitement, this sequel shares the significant flaw of its predecessor: Both films graft an unwieldy and effects-heavy finale onto a movie that had managed to create relatable characters and situations, even when both are larger than life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,76,Paste Magazine,Wonder Woman 1984 has many of the same strengths and weaknesses as its predecessor. Fortunately, the exact mix and proportion of those strengths and weaknesses has shifted for the better.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,75,New York Post,The first film was set during the happiest time in human history: World War I. A tormented Wonder Woman took to the trenches and endured a solid hour of smoke and soot. Squint and you could maybe spot the main character.  Wonder Woman 1984, by contrast, is visually dazzling with kaleidoscopic color and buoyant action sequences. The plot, thank Ares, is no longer so self-serious, even if it is a bit knotty.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,FALSE,75,The Atlantic,It’s a refreshingly silly and airy adventure focused on the emotions of one character, Wonder Woman (played by Gal Gadot), and a charming end to a tiring year of cinema.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,75,The Associated Press,The ambitions of Wonder Woman 1984 may be just outside its grasp, but it seldom feels predestined or predictable — a preciously rare commodity in the genre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,75,The Globe and Mail (Toronto),The margins of the movie are so curious: there is an entire graduate thesis to be written about how a film starring a one-time Miss Israel features a subplot about Egypt magically erecting a giant wall within its borders, or how its 1980s aesthetics are inexplicably paired with modern moviemaking bloat. But the overriding keyword of Wonder Woman 1984 is “conventional.”...Which is fine, for now. Let’s watch these superpowered gods rumble amongst themselves. We can worry about our mortal world tomorrow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,75,USA Today,Wonder Woman 1984 is director/co-writer Patty Jenkins’ much lighter, somewhat campy follow up to her World War I-set 2017 hit film, though a lot has to do with the new retro time frame. While not quite up to par with its predecessor, the Reagan-era sequel returns Gal Gadot as the Amazon princess with the bulletproof bracelets, introduces a couple worthy foes, and is a pretty fun time even if the extremely busy “1984” almost wears out its welcome at a hefty two and a half hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,
